HourUTC;HourDK;ConnectedArea;SharePPM;ShareMWh
2024-12-28 18:00:00;2024-12-28 19:00:00;DK2;293058;1325,023745
2024-12-28 18:00:00;2024-12-28 19:00:00;DK1;638007;2884,666165
2024-12-28 18:00:00;2024-12-28 19:00:00;NO2;32354;146,288722
2024-12-28 18:00:00;2024-12-28 19:00:00;SE;36579;165,388369
2024-12-28 18:00:00;2024-12-28 19:00:00;GE;0;0,000000
2024-12-28 18:00:00;2024-12-28 19:00:00;NL;0;0,000000
2024-12-28 17:00:00;2024-12-28 18:00:00;DK1;582458;2764,988519
2024-12-28 17:00:00;2024-12-28 18:00:00;DK2;269659;1280,102977
2024-12-28 17:00:00;2024-12-28 18:00:00;NO2;67236;319,177451
2024-12-28 17:00:00;2024-12-28 18:00:00;SE;80645;382,831782
